IRRIGATION PUMP VESPA 1.5 HP MAP 150,Nos
POOL DECK BOX (12) 13*13 ASTRAL 30825,Nos
GI CABLE TRAY 300*50*0.1MM,Nos
GI CABLE TRAY COVER 300*15*0.7MM,Nos
GI TRANKING 50*50MM*0.7MM 3MTR,Nos
GI FLEXIBLE CONDUIT 25MM GIFLEX,Nos
COPEX GLAND25MM,Nos
GI SLOTTED CHANNEL 41*41MM*1.2MM,Nos
GI SRPINGNUT 6MM,Nos
GI BOLT 6X20MM,Nos
CABLE TIE 450*4.8 BLACK GOWEL,Nos
CABLE GLAND BW25L KED BROOK,Nos
CABLE GLAND 32S RR,Nos
GABLE GLAND BW20L GIFEX,Nos
"H/P PVC ELBOW 90*1"" ATLAS",Nos
"H/P PVC F/M SOCKET 1"" ATLAS",Nos
"PVC SADDLE CLAMP 1""",Nos
"H/P PVC UNION BALL VALVE 1"" ANTI B CEPEX",Nos
"PPR F/M SOCKET 32MM*3/4"" RAK THERM",Nos
UTILITY KNIFE CLARKE,Nos
KNIFE BLADE 18MM ROCK HARD PIGEON,Nos
EX CABLE REEL 25 MTR KED BROOK,Nos (Reel)
TILE CUTTING DISC 4.5'' DX3121 DEWALT,Nos
SOFT BRUSH MOON LIGHT+ HANDLE,Nos
PP SHEET 0.9*2 MTR 2 MM 300 GSM BLUE,Nos
SUPER GLUE 3 GRM FEVICOL,Tin/Bottle
BISON KIT 650 ML,Nos
"PAINT ROLLER 9 "" CLARK",Nos
"H/P PVC ELBOW 90* 2"" ATLAS",Nos
"H/P PVC MALE SOCKET 2"" ATLAS",Nos
H/P PVC RED. BUSH 2 '' x 1/2 '' ATLAS,Nos
"H/P PVC MALE SOCKET 11/2"" ATLAS",Nos
"H/P PVC F/M RED BUSH 1*3/4"" ATLAS",Nos
"H/P PVC ELBOW 90* 1"" ATLAS",Nos
"H/P PVC TEE 1"" ATLAS",Nos
"H/P PVC MALE SOCKET 1"" ATLAS",Nos
"H/P PVC ELBOW 45* 1"" ATLAS",Nos
IRRIGATION RATCHET CLIP 13MM,Nos
4 MM 1 CORE WIRE BLACK CABLE OMAN,Nos
4 MM 1 CORE WIRE RED CABLE OMAN,Nos
FLEXIBLE CABLE 2.5*3 C WHITE RR,Nos
CSK SELF TAPPING SCREW 8*3/4 TUFFIX,Nos
FISHER PLUG 6 MM GOWEL,Nos
PVC TRUNKING 100*100 SPECTRUM,Nos
ARMOURED CABLE 16MM*4 C MESC UAE,Nos
ARMOURED CABLE 10MM*4 C MESE,Nos
4 MM 1 CORE WIRE YELLOW OMAN MTR,Nos
COPPER LUG 16*10,Nos
CABLE GLAND BW25L KED BROOK,Nos
UNI FIX10 *40MM TUFFIX TAIWAN,Nos
"H/P PVC PIPE 1"" x 6 MTR ATLAS",Mtr
2.5 MM 1 CORE WIRE Y/G OMAN,Nos
"H/P PVC F/M SOCKET 11/4"" ATLAS",Nos
"H/P PVC CONVER. SOCKET 50mm x11/2""",Nos
"H/P PVC RED. BUSH 11/2"" x 1"" ATLAS",Nos
"H/P PVC F/M RED BUSH 1*3/4"" ATLAS",Nos
"H/P PVC F/M RED BUSH 1*1/2"" ATLAS",Nos
PVC ELEC. CONDUIT PIPE25 X 1.8mm DD,Mtr
PVC CONDUIT SOCKET 25 MM DD,Nos
PVC FLEXIBLE CONDUIT 25 MM * 25MTR BLACK,Nos
PVC CONDUIT ADAPTER 25 MM DD,Nos
2.5MM SINGLE CORE YELLOW/GREEN OMAN,Nos
2.5MM SINGLE CORE RED 100 METER,Nos
2.5MM SINGLE CORE BLACK 100 METER,Nos
PVC FLEXIBLE CONDUIT PIPE 25MM - 25MTR BLACK,Mtr
"H/P PVC UNION 1"" CEPEX",Nos
CSK SELF TAPPING SCREW 8*1-1/2 PERFECT,Nos
FISHER PLUG 8 MM BARTOLUCCI,Nos
FIX BOLT 8 MM-50 PCS / PKT,Nos
PVC W/P BOX 100 *100*50 IP65 GIFFEX,Nos
"PVC EXHAUST FAN KC6 6"" KHALEEGIA",Nos
SS HOLE SAW CUTTER 25MM HI CUT,Nos
"BRASS FOOT VALVE 2"" FULL BRAS MAAT",Nos
